city_code,city,uf,lat,long,radiance,geometry,distance_to_city,rank
2921450,Mirante ,BA,-14.254167380699997,-40.76666555279999,1.1494457,POINT (-40.76666555279999 -14.254167380699997),0.015922669794211,49.0
2921450,Mirante ,BA,-14.254167380699997,-40.76249888609999,1.2228042,POINT (-40.76249888609999 -14.254167380699997),0.0181218441224597,57.0
2921450,Mirante ,BA,-14.254167380699997,-40.75833221939999,0.84580463,POINT (-40.75833221939999 -14.254167380699997),0.0209282889458211,80.0
2921450,Mirante ,BA,-14.258334047399998,-40.7874988863,0.3385517,POINT (-40.7874988863 -14.258334047399998),0.0231723022594721,95.0
2921450,Mirante ,BA,-14.258334047399998,-40.7833322196,0.33884165,POINT (-40.7833322196 -14.258334047399998),0.0209335687148314,81.0
2921450,Mirante ,BA,-14.258334047399998,-40.7791655529,0.35685185,POINT (-40.7791655529 -14.258334047399998),0.0193441264742195,69.0
2921450,Mirante ,BA,-14.258334047399998,-40.7749988862,0.39991903,POINT (-40.7749988862 -14.258334047399998),0.0185714399479539,62.0
2921450,Mirante ,BA,-14.258334047399998,-40.7708322195,0.5462922,POINT (-40.7708322195 -14.258334047399998),0.0187169377091457,64.0
2921450,Mirante ,BA,-14.258334047399998,-40.76666555279999,1.1108483,POINT (-40.76666555279999 -14.258334047399998),0.0197603480600298,72.0
2921450,Mirante ,BA,-14.258334047399998,-40.76249888609999,1.2813859,POINT (-40.76249888609999 -14.258334047399998),0.0215717680424385,85.0
2921450,Mirante ,BA,-14.2625007141,-40.7791655529,0.32620883,POINT (-40.7791655529 -14.2625007141),0.0233635912031187,99.0
2921450,Mirante ,BA,-14.2625007141,-40.7749988862,0.34155983,POINT (-40.7749988862 -14.2625007141),0.0227279683781086,91.0
2921450,Mirante ,BA,-14.2625007141,-40.7708322195,0.3267704,POINT (-40.7708322195 -14.2625007141),0.0228470112282523,92.0
2931103,Tanquinho ,BA,-11.950000695599996,-39.1083322062,0.41924554,POINT (-39.1083322062 -11.950000695599996),0.0230470602520814,96.0
2931103,Tanquinho ,BA,-11.950000695599996,-39.1041655395,0.43427464,POINT (-39.1041655395 -11.950000695599996),0.0219921066932668,91.0
2931103,Tanquinho ,BA,-11.950000695599996,-39.0999988728,0.4180493,POINT (-39.0999988728 -11.950000695599996),0.0216993260294111,86.0
2931103,Tanquinho ,BA,-11.950000695599996,-39.0958322061,0.43596464,POINT (-39.0958322061 -11.950000695599996),0.022198895608366,92.0
2931103,Tanquinho ,BA,-11.954167362299998,-39.112498872900005,0.4876129,POINT (-39.112498872900005 -11.954167362299998),0.0212130753588353,81.0
2931103,Tanquinho ,BA,-11.954167362299998,-39.1083322062,0.48244864,POINT (-39.1083322062 -11.954167362299998),0.019177020465822,67.0
2931103,Tanquinho ,BA,-11.954167362299998,-39.1041655395,0.4916686,POINT (-39.1041655395 -11.954167362299998),0.0178953593004307,59.0
2931103,Tanquinho ,BA,-11.954167362299998,-39.0999988728,0.4980219,POINT (-39.0999988728 -11.954167362299998),0.0175343057408659,56.0
2931103,Tanquinho ,BA,-11.954167362299998,-39.0958322061,0.50991994,POINT (-39.0958322061 -11.954167362299998),0.0181488868505651,63.0
